sweeps,beta,magnetisation,energy,G,seed
881,0.4,-0.0775,-2.02,0.525,0
882,0.4,-0.0725,-2.135,0.56,0
883,0.4,-0.06875,-2.175,0.5625,0
884,0.4,-0.07125,-2.215,0.57,0
885,0.4,-0.04625,-2.255,0.5625,0
886,0.4,-0.0175,-2.38,0.5875,0
887,0.4,-0.03875,-2.37,0.585,0
888,0.4,-0.05,-2.325,0.6025,0
889,0.4,-0.06,-2.315,0.57,0
890,0.4,-0.075,-2.185,0.5525,0
891,0.4,-0.0825,-2.25,0.57,0
892,0.4,-0.1175,-2.25,0.55,0
893,0.4,-0.09125,-2.25,0.56,0
894,0.4,-0.11125,-2.145,0.525,0
895,0.4,-0.11625,-2.065,0.52,0
896,0.4,-0.1075,-2.015,0.495,0
897,0.4,-0.12375,-2.03,0.5025,0
898,0.4,-0.09875,-2.105,0.5125,0
899,0.4,-0.11875,-2.23,0.56,0
900,0.4,-0.125,-2.16,0.555,0
901,0.4,-0.11375,-2.045,0.495,0
902,0.4,-0.06625,-2.075,0.53,0
903,0.4,-0.065,-2.17,0.5475,0
904,0.4,-0.0275,-2.265,0.585,0
905,0.4,-0.05625,-2.16,0.56,0
906,0.4,-0.1,-2.355,0.585,0
907,0.4,-0.0825,-2.29,0.5825,0
908,0.4,-0.055,-2.285,0.5625,0
909,0.4,-0.08125,-2.175,0.5375,0
910,0.4,-0.095,-2.255,0.56,0
911,0.4,-0.09875,-2.45,0.6325,0
912,0.4,-0.06625,-2.39,0.5975,0
913,0.4,-0.0775,-2.305,0.5675,0
914,0.4,-0.125,-2.29,0.565,0
915,0.4,-0.14,-2.375,0.565,0
916,0.4,-0.14,-2.435,0.5875,0
917,0.4,-0.10625,-2.305,0.58,0
918,0.4,-0.135,-2.48,0.6375,0
